Horizon,Accuracy,Precision,Recall,F1_score,AUC,correct_down,incorrect_down,correct_up,incorrect_up,OBV,%K,%D,MACD,Signal
11,0.761723700887199,0.7176855442925131,0.8132387706855791,0.7853881278538812,0.8408776757224613,0.7021857923497268,0.2978142076502732,0.8132387706855791,0.1867612293144208,0.246079377327532,0.18628826409330862,0.17241814743556536,0.19963861765147736,0.19557559349211662
12,0.7782002534854245,0.7490459855623519,0.84375,0.81203007518797,0.8607430875576038,0.6920821114369502,0.30791788856304986,0.84375,0.15625,0.2497549040947375,0.18580693457494143,0.1742259260547957,0.1963932602906538,0.1938189749848716
13,0.7946768060836502,0.7689097555266933,0.8671023965141612,0.8308977035490605,0.8732950419224929,0.693939393939394,0.30606060606060603,0.8671023965141612,0.1328976034858388,0.2564223089735108,0.18307220283607134,0.17092873603712583,0.19673750880595853,0.1928392433473335
14,0.7984790874524715,0.7760145483716197,0.8512035010940919,0.8303094983991461,0.8766839788036171,0.7259036144578314,0.2740963855421687,0.8512035010940919,0.1487964989059081,0.2625114753279134,0.1744137578216858,0.17085046969814385,0.20019768005505714,0.19202661709719987
15,0.7832699619771863,0.7653583503411557,0.8665254237288136,0.8270980788675429,0.8647777094583756,0.6593059936908517,0.34069400630914826,0.8665254237288136,0.13347457627118645,0.26589015413837186,0.1671113492607647,0.16543940176908276,0.20171983886777053,0.19983925596401003
16,0.770595690747782,0.7360568979528683,0.8635346756152126,0.8100734522560336,0.8629884741682692,0.6491228070175439,0.3508771929824561,0.8635346756152126,0.13646532438478748,0.26034014497243974,0.1749149484311653,0.17172230720256712,0.200715331046416,0.1923072683474118
17,0.7934093789607097,0.7673944725930015,0.8571428571428571,0.8271474019088018,0.8720207935776798,0.7065868263473054,0.2934131736526946,0.8571428571428571,0.14285714285714285,0.2634826284287996,0.17683474305658445,0.16636666541170098,0.19242352202745883,0.20089244107545612
18,0.779467680608365,0.7641358304251349,0.8486140724946695,0.820618556701031,0.8785514392324094,0.678125,0.321875,0.8486140724946695,0.1513859275053305,0.2672011761351699,0.16596044427605733,0.16228060535779895,0.20126432755206825,0.20329344667890553
19,0.7845373891001267,0.7461897282570721,0.8811659192825112,0.8221757322175733,0.8715991841964204,0.6588921282798834,0.34110787172011664,0.8811659192825112,0.11883408071748879,0.2646870792006859,0.17203428533586348,0.1612194314456272,0.20090372262605047,0.20115548139177292
20,0.7845373891001267,0.7568026227122051,0.8665207877461707,0.8232848232848232,0.869595449632227,0.6716867469879518,0.32831325301204817,0.8665207877461707,0.13347921225382933,0.2683554267134136,0.1646092100748327,0.1676583042510447,0.19470048181172747,0.20467657714898144
21,0.7984790874524715,0.7741788298785723,0.8774193548387097,0.836923076923077,0.8804593123589539,0.6851851851851852,0.3148148148148148,0.8774193548387097,0.12258064516129032,0.26994244608294055,0.1668589928882175,0.16351970035335106,0.20027674187655306,0.19940211879893782
22,0.7972116603295311,0.773961674623064,0.8731182795698925,0.8353909465020576,0.8831209345546264,0.6882716049382716,0.3117283950617284,0.8731182795698925,0.12688172043010754,0.26400346304670913,0.16905645127133398,0.1607666187757826,0.20423656518026165,0.20193690172591272
23,0.8086185044359949,0.7822728513561322,0.8905579399141631,0.8460754332313966,0.8933516257191831,0.6904024767801857,0.30959752321981426,0.8905579399141631,0.10944206008583691,0.2761830655429935,0.15540945370155668,0.1624755775315975,0.20131064342679086,0.20462125979706136
24,0.8022813688212928,0.8037872835758828,0.8371134020618557,0.8388429752066116,0.8859739555073249,0.7467105263157895,0.2532894736842105,0.8371134020618557,0.16288659793814433,0.2800120460052109,0.16199446109839152,0.1603728753765873,0.19813530019984102,0.1994853173199692
25,0.8048162230671736,0.7778113447501878,0.8758169934640523,0.8392484342379958,0.8983990229088269,0.706060606060606,0.29393939393939394,0.8758169934640523,0.12418300653594772,0.2951433812132502,0.1507380622272942,0.15351673798287283,0.20055065907166705,0.20005115950491573
26,0.8390367553865653,0.8200176284444615,0.9135802469135802,0.8748768472906403,0.9207071941762077,0.7194719471947195,0.28052805280528054,0.9135802469135802,0.08641975308641975,0.3080384760762556,0.14297870476919122,0.1428912040114088,0.20472713845064716,0.20136447669249719
27,0.8542458808618505,0.8390324991676235,0.9164969450101833,0.8866995073891626,0.9214587405514016,0.7516778523489933,0.2483221476510067,0.9164969450101833,0.0835030549898167,0.29852269669444176,0.14023284575908823,0.15133579833352842,0.2090707105122467,0.20083794870069496
28,0.8086185044359949,0.7727407358742099,0.9200863930885529,0.8494516450648056,0.8893187931468549,0.6503067484662577,0.3496932515337423,0.9200863930885529,0.07991360691144708,0.29784549467686716,0.1453640777558917,0.1498032600049731,0.20579253758039617,0.20119462998187188
29,0.844106463878327,0.8093725764773481,0.9285714285714286,0.8746177370030581,0.9117882627056939,0.7247706422018348,0.27522935779816515,0.9285714285714286,0.07142857142857142,0.3082331596862921,0.13923760969983076,0.1468419580265389,0.20652647964979845,0.1991607929375398
30,0.8212927756653993,0.794425349815655,0.927536231884058,0.8640308582449372,0.8982428720280383,0.6535947712418301,0.3464052287581699,0.927536231884058,0.07246376811594203,0.2941129055053887,0.14438433253792027,0.15135194296999693,0.20922244148695324,0.20092837749974074
